timestamp,count
1636621200.0,1416
1690999200.0,0
1647054000.0,1618
1642017600.0,1251
1654333200.0,0
1693659600.0,0
1692532800.0,0
1627934400.0,971
1689757200.0,5539
1694548800.0,1038
1675393200.0,2302
1628719200.0,939
1619042400.0,58
1617652800.0,58
1679378400.0,1706
1662631200.0,1706
1642060800.0,410
1670212800.0,0
1629583200.0,971
1650348000.0,2318
1657414800.0,764
1660863600.0,939
1636459200.0,431
1648951200.0,0
1682154000.0,1417
1676955600.0,1156
1677686400.0,0
1659780000.0,0
1692903600.0,1706
1664924400.0,1797
1672041600.0,486
1633312800.0,431
1643889600.0,789
1639850400.0,64
1688068800.0,0
1672398000.0,186
1679756400.0,323
1643317200.0,1103
1689807600.0,985
1647140400.0,1618
1643961600.0,685
1675530000.0,1301
1685044800.0,2897
1656302400.0,1509
1689663600.0,775
1681729200.0,4092
1648620000.0,35613
1652432400.0,3660
1692716400.0,18316
1684303200.0,354
1619647200.0,0
1658462400.0,939
1647115200.0,1706
1683392400.0,2732
1627848000.0,1706
1683126000.0,2154
1672074000.0,486
1643054400.0,212
1624629600.0,1321
1686546000.0,3341
1652065200.0,3000
1671865200.0,2665
1665655200.0,877
1651280400.0,0
1643475600.0,2302
1672945200.0,953
1671606000.0,1706
1624003200.0,493
1657353600.0,672
1696212000.0,762
1620892800.0,3459
1693767600.0,2691
1668542400.0,85
1672315200.0,59
1673776800.0,893
1657591200.0,775
1621958400.0,2154
1626786000.0,30721
1641441600.0,0
1678910400.0,144
1673856000.0,0
1619470800.0,3115
1641355200.0,0
1672016400.0,298
1656777600.0,2665
1689976800.0,971
1619010000.0,2868
1623096000.0,17597
1675879200.0,1103
1650092400.0,2897
1668229200.0,1203
1674000000.0,0
1649808000.0,35613
1669845600.0,0
1691920800.0,3242
1696035600.0,0
1661626800.0,939
1663653600.0,0
1648623600.0,3115
1680609600.0,24111
1675425600.0,2302
1619031600.0,3115
1632448800.0,902
1645722000.0,323
1671386400.0,557
1677430800.0,0
1635285600.0,1797
1625382000.0,971
1620064800.0,35613
1669392000.0,593
1634281200.0,221
1694012400.0,0
1660755600.0,939
1679785200.0,1417
1655809200.0,2691
1640797200.0,953
1658120400.0,3212
1687856400.0,939
1636308000.0,3439
1685041200.0,2897
1668412800.0,485
1622098800.0,938
1642122000.0,1024
1645466400.0,0
1663466400.0,0
1634353200.0,0
1696334400.0,5083
1690693200.0,1706
1664413200.0,1583
1669834800.0,2341
1640764800.0,907
1678723200.0,0
1621677600.0,12602
1639306800.0,918
