timestamp,count
1636621200.0,885594262012439.6
1690999200.0,885594262013185.2
1647054000.0,885594262012296.6
1642017600.0,885594262011861.4
1654333200.0,2621.75
1693659600.0,885594262013941.4
1692532800.0,885594262014488.5
1627934400.0,885594262012654.8
1689757200.0,885594262013797.8
1694548800.0,885594262013570.6
1675393200.0,885594262012702.0
1628719200.0,885594262013164.6
1619042400.0,885594262012071.2
1617652800.0,885594262012105.2
1679378400.0,885594262012563.6
1662631200.0,885594262013508.8
1642060800.0,885594262011604.4
1670212800.0,885594262010951.5
1629583200.0,885594262013091.8
1650348000.0,885594262013249.5
1657414800.0,885594262012887.5
1660863600.0,885594262013538.8
1636459200.0,885594262013004.0
1648951200.0,885594262011888.0
1682154000.0,885594262013122.6
1676955600.0,885594262012440.4
1677686400.0,885594262011817.5
1659780000.0,885594262014259.1
1692903600.0,885594262013739.0
1664924400.0,885594262013248.9
1672041600.0,885594262012139.5
1633312800.0,885594262012361.5
1643889600.0,885594262012806.9
1639850400.0,885594262011689.5
1688068800.0,885594262013438.0
1672398000.0,885594262012434.2
1679756400.0,885594262013946.1
1643317200.0,885594262012287.6
1689807600.0,885594262012970.5
1647140400.0,885594262012222.5
1643961600.0,885594262012433.8
1675530000.0,885594262012744.1
1685044800.0,885594262013366.2
1656302400.0,885594262012414.4
1689663600.0,885594262013149.9
1681729200.0,885594262013672.1
1648620000.0,885594262012015.1
1652432400.0,885594262014386.6
1692716400.0,885594262014669.2
1684303200.0,885594262013641.4
1619647200.0,885594262012033.6
1658462400.0,885594262012846.9
1647115200.0,885594262012308.8
1683392400.0,885594262013811.4
1627848000.0,885594262012546.6
1683126000.0,885594262013535.1
1672074000.0,885594262012104.8
1643054400.0,885594262011214.1
1624629600.0,885594262013594.8
1686546000.0,885594262014021.9
1652065200.0,885594262012475.8
1671865200.0,885594262012225.8
1665655200.0,885594262013398.4
1651280400.0,885594262011848.4
1643475600.0,885594262013295.9
1672945200.0,885594262012966.2
1671606000.0,885594262012181.0
1624003200.0,885594262013284.9
1657353600.0,885594262014253.4
1696212000.0,885594262013175.5
1620892800.0,885594262013123.5
1693767600.0,885594262013595.1
1668542400.0,885594262012129.9
1672315200.0,885594262012656.4
1673776800.0,885594262012031.5
1657591200.0,885594262013475.5
1621958400.0,885594262013916.1
1626786000.0,885594262015171.9
1641441600.0,885594262010833.8
1678910400.0,885594262011980.9
1673856000.0,885594262011613.5
1619470800.0,885594262012203.5
1641355200.0,885594262011402.8
1672016400.0,885594262012525.8
1656777600.0,885594262013632.1
1689976800.0,885594262012891.1
1619010000.0,885594262013491.4
1623096000.0,885594262014389.8
1675879200.0,885594262011628.1
1650092400.0,885594262013428.0
1668229200.0,885594262012241.2
1674000000.0,885594262010674.4
1649808000.0,885594262013049.9
1669845600.0,885594262011035.9
1691920800.0,885594262013974.8
1696035600.0,885594262012367.0
1661626800.0,885594262013189.2
1663653600.0,885594262012515.5
1648623600.0,885594262012177.0
1680609600.0,885594262013350.5
1675425600.0,885594262013284.4
1619031600.0,885594262012606.0
1632448800.0,885594262012796.9
1645722000.0,885594262012223.1
1671386400.0,885594262011160.8
1677430800.0,885594262011617.4
1635285600.0,885594262013058.5
1625382000.0,885594262013032.8
1620064800.0,885594262013054.9
1669392000.0,885594262012409.4
1634281200.0,885594262012749.1
1694012400.0,885594262015351.1
1660755600.0,885594262013375.4
1679785200.0,885594262012829.4
1655809200.0,885594262013715.8
1640797200.0,885594262013344.2
1658120400.0,885594262013737.8
1687856400.0,885594262013793.5
1636308000.0,885594262012221.8
1685041200.0,885594262013598.2
1668412800.0,885594262012082.9
1622098800.0,885594262013870.1
1642122000.0,885594262011712.5
1645466400.0,885594262012838.8
1663466400.0,885594262012048.8
1634353200.0,885594262011815.6
1696334400.0,885594262013789.0
1690693200.0,885594262012915.9
1664413200.0,885594262011743.4
1669834800.0,885594262011229.9
1640764800.0,885594262012390.4
