,timestamp,count
0,1656896400,0
1,1685127600,157
2,1622311200,0
3,1666148400,0
4,1624255200,1342
5,1688338800,0
6,1682701200,0
7,1645639200,1346
8,1670284800,0
9,1689678000,17343
10,1650340800,0
11,1634205600,3808
12,1649520000,0
13,1666000800,58
14,1660071600,0
15,1618333200,0
16,1691708400,0
17,1652803200,28773
18,1628038800,0
19,1693792800,0
20,1620759600,880
21,1657188000,22078
22,1635847200,142
23,1694919600,0
24,1690405200,0
25,1653476400,7465
26,1694998800,0
27,1673524800,0
28,1653224400,0
29,1678122000,0
30,1675414800,0
31,1682967600,0
32,1622869200,0
33,1634328000,261
34,1657807200,11077
35,1619874000,0
36,1693440000,0
37,1654462800,0
38,1653703200,0
39,1665068400,932
40,1681588800,0
41,1689742800,56
42,1684000800,0
43,1620324000,341
44,1641668400,0
45,1658098800,0
46,1676188800,0
47,1664733600,0
48,1670918400,0
49,1657663200,0
50,1669716000,0
51,1626717600,2003
52,1678258800,0
53,1625176800,0
54,1634565600,5611
55,1676800800,0
56,1651240800,0
57,1643526000,0
58,1659772800,0
59,1618916400,2088
60,1687140000,0
61,1656532800,9949
62,1635364800,0
63,1663070400,243
64,1687658400,0
65,1643918400,0
66,1669932000,0
67,1662174000,0
68,1665043200,194
69,1626998400,0
70,1681855200,0
71,1639501200,993
72,1623308400,1543
73,1671458400,0
74,1623319200,898
75,1620302400,156
76,1659837600,0
77,1646330400,887
78,1655118000,46
79,1632301200,541
80,1655802000,0
81,1694354400,0
82,1678694400,0
83,1683244800,0
84,1682888400,0
85,1671267600,0
86,1617613200,0
87,1643234400,0
88,1696683600,0
89,1644332400,557
90,1696014000,0
91,1685163600,17
92,1689922800,0
93,1669996800,0
94,1666947600,0
95,1648303200,0
96,1682208000,0
97,1669161600,0
98,1687982400,13302
99,1622919600,0
100,1638439200,149
101,1634310000,376
102,1689202800,0
103,1634040000,964
104,1622023200,683
105,1646593200,0
106,1665147600,0
107,1683054000,112
108,1675983600,0
109,1683068400,0
110,1626404400,0
111,1676444400,0
112,1654945200,0
113,1637535600,0
114,1631642400,1246
115,1666900800,0
116,1691208000,0
117,1623697200,927
118,1650873600,0
119,1669323600,0
120,1661968800,0
121,1665252000,103
122,1669075200,0
123,1695463200,0
124,1644483600,486
125,1663880400,0
126,1683010800,1361
127,1664204400,382
128,1685595600,1
129,1648220400,290
130,1668283200,0
131,1684040400,0
132,1642687200,68
133,1629817200,474
134,1634605200,234
135,1621810800,0
136,1643414400,0
137,1619690400,584
138,1654678800,5884
139,1655366400,16615
140,1673614800,0
141,1625414400,296
142,1660842000,0
143,1618689600,0
144,1678424400,0
145,1681023600,0
146,1637445600,0
147,1673236800,0
