timestamp,weco
1656896400,fair
1685127600,clear
1622311200,fair
1666148400,cloudy
1624255200,light rain
1688338800,fair
1682701200,cloudy
1645639200,overcast
1670284800,overcast
1689678000,cloudy
1650340800,cloudy
1634205600,cloudy
1649520000,fair
1666000800,overcast
1660071600,fair
1618333200,fair
1691708400,fair
1652803200,fair
1628038800,fair
1693792800,fair
1620759600,fair
1657188000,cloudy
1635847200,fair
1694919600,cloudy
1690405200,heavy rain
1653476400,cloudy
1694998800,light rain
1673524800,light rain
1653224400,fair
1678122000,light rain
1675414800,overcast
1682967600,fair
1622869200,cloudy
1634328000,cloudy
1657807200,fair
1619874000,fair
1693440000,cloudy
1654462800,fog
1653703200,fair
1665068400,fair
1681588800,fair
1689742800,overcast
1684000800,fair
1620324000,fair
1641668400,light rain
1658098800,fair
1676188800,overcast
1664733600,fair
1670918400,cloudy
1657663200,overcast
1669716000,overcast
1626717600,fair
1678258800,lihgt snowfall
1625176800,cloudy
1634565600,light rain
1676800800,cloudy
1651240800,cloudy
1643526000,clear
1659772800,fair
1618916400,fair
1687140000,fair
1656532800,overcast
1635364800,fair
1663070400,overcast
1687658400,clear
1643918400,cloudy
1669932000,overcast
1662174000,fair
1665043200,fair
1626998400,fair
1681855200,cloudy
1639501200,overcast
1623308400,cloudy
1671458400,light rain
1623319200,cloudy
1620302400,rain shower
1659837600,fair
1646330400,overcast
1655118000,cloudy
1632301200,fair
1655802000,fair
1694354400,cloudy
1678694400,light rain
1683244800,overcast
1682888400,overcast
1671267600,cloudy
1617613200,cloudy
1643234400,cloudy
1696683600,fair
1644332400,overcast
1696014000,fair
1685163600,fair
1689922800,cloudy
1669996800,light rain
1666947600,cloudy
1648303200,fair
1682208000,light rain
1669161600,fair
1687982400,cloudy
1622919600,fair
1638439200,fair
1634310000,fair
1689202800,fair
1634040000,overcast
1622023200,cloudy
1646593200,cloudy
1665147600,fair
1683054000,cloudy
1675983600,fair
1683068400,fair
1626404400,clear
1676444400,cloudy
1654945200,
1637535600,fair
1631642400,light rain
1666900800,overcast
1691208000,light rain
1623697200,cloudy
1650873600,fair
1669323600,cloudy
1661968800,fair
1665252000,fair
1669075200,light rain
1695463200,fair
1644483600,overcast
1663880400,overcast
1683010800,overcast
1664204400,cloudy
1685595600,cloudy
1648220400,fair
1668283200,fair
1684040400,cloudy
1642687200,fair
1629817200,fair
1634605200,overcast
1621810800,light rain
1643414400,overcast
1619690400,fair
1654678800,
1655366400,fair
1673614800,fair
1625414400,light rain
1660842000,cloudy
1618689600,cloudy
1678424400,light rain
1681023600,cloudy
1637445600,overcast
1673236800,overcast
1625277600,light rain
1643637600,fair
1689832800,fair
1672732800,overcast
1629003600,overcast
1683385200,light rain
1674172800,clear
1643702400,overcast
1657033200,cloudy
1690300800,cloudy
1650081600,fair
1622844000,overcast
1620604800,overcast
1691715600,cloudy
1697796000,overcast
1693537200,light rain
1663016400,overcast
1643425200,overcast
1644076800,overcast
1618646400,fair
1664190000,cloudy
1672866000,cloudy
1622268000,overcast
1659063600,fair
1630429200,cloudy
1657695600,cloudy
1649404800,cloudy
1621148400,cloudy
1683187200,overcast
1694095200,fair
