timestamp,prcp,pres,rhum,season,temp,wdir,weco,wspd,count
1617339600.0,0.0,1029.4,84.0,spring,3.0,33.0,fair,14.8,19
1617343200.0,0.0,1029.5,81.0,spring,3.6,36.0,fair,16.7,60
1617346800.0,0.0,1029.7,,spring,4.6,39.0,fair,18.5,82
1617350400.0,0.0,1029.9,71.0,spring,5.8,44.0,fair,20.4,82
1617354000.0,0.0,1030.1,,spring,6.7,43.0,cloudy,20.4,17
1617357600.0,0.0,1030.1,,spring,7.5,45.0,cloudy,20.4,9
1617364800.0,0.0,1029.9,,spring,8.8,38.0,fair,20.4,5
1617375600.0,0.0,1029.8,59.0,spring,8.5,30.0,fair,22.2,0
1617386400.0,0.0,1030.7,,spring,6.1,25.0,fair,18.5,0
1617390000.0,0.0,1031.2,,spring,5.5,23.0,fair,16.7,0
1617393600.0,0.0,1031.4,75.0,spring,5.0,21.0,cloudy,16.7,0
1617397200.0,0.0,1031.6,,spring,4.6,17.0,cloudy,18.5,0
1617400800.0,0.0,1031.7,83.0,spring,4.4,16.0,overcast,18.5,0
1617408000.0,0.0,1031.7,,spring,4.2,14.0,overcast,16.7,0
1617411600.0,0.0,1031.6,81.0,spring,4.0,11.0,overcast,16.7,0
1617415200.0,0.0,1031.5,,spring,3.7,13.0,overcast,16.7,0
1617422400.0,0.0,1031.7,83.0,spring,3.6,3.0,overcast,14.8,0
1617426000.0,0.0,1032.1,83.0,spring,3.9,10.0,overcast,16.7,0
1617429600.0,0.0,1032.4,,spring,4.4,14.0,overcast,16.7,0
1617433200.0,0.0,1032.6,,spring,4.9,19.0,overcast,18.5,0
1617436800.0,0.0,1032.8,72.0,spring,5.6,26.0,overcast,20.4,0
1617440400.0,0.0,1032.8,,spring,6.1,28.0,overcast,22.2,0
1617444000.0,0.0,1032.7,68.0,spring,6.6,30.0,overcast,20.4,0
1617447600.0,0.0,1032.7,66.0,spring,7.0,31.0,cloudy,20.4,0
1617451200.0,0.0,1032.4,,spring,7.2,29.0,cloudy,20.4,0
1617454800.0,0.0,1032.2,64.0,spring,7.3,29.0,cloudy,20.4,0
1617462000.0,0.0,1032.0,64.0,spring,7.8,26.0,overcast,20.4,0
1617465600.0,0.0,1031.8,,spring,7.6,26.0,cloudy,18.5,0
1617472800.0,0.0,1031.7,72.0,spring,6.3,29.0,cloudy,16.7,0
1617476400.0,0.0,1031.8,,spring,5.5,27.0,cloudy,14.8,0
1617480000.0,0.0,1031.9,,spring,4.8,25.0,cloudy,13.0,0
1617487200.0,0.0,1031.6,85.0,spring,3.6,16.0,cloudy,9.3,0
1617490800.0,0.0,1031.5,,spring,3.1,13.0,fair,9.3,0
1617498000.0,0.0,1030.7,89.0,spring,2.3,1.0,fair,7.4,0
1617501600.0,0.0,1030.5,90.0,spring,1.9,347.0,fair,7.4,0
1617505200.0,0.0,1030.0,,spring,1.6,335.0,fair,7.4,0
1617508800.0,0.0,1029.9,,spring,1.4,319.0,fair,7.4,0
1617512400.0,0.0,1029.6,,spring,1.8,310.0,fair,5.5,0
1617523200.0,0.0,1028.5,71.0,spring,6.2,288.0,fair,9.3,0
1617526800.0,0.0,1027.7,66.0,spring,7.8,289.0,fair,11.1,0
1617537600.0,0.0,1024.3,,spring,11.3,278.0,fair,14.8,0
1617541200.0,0.0,1023.0,,spring,12.4,274.0,fair,14.8,0
1617544800.0,0.0,1022.1,,spring,12.7,271.0,fair,16.7,0
1617548400.0,0.0,1022.3,,spring,12.9,270.0,fair,14.8,0
1617552000.0,0.0,1021.4,,spring,12.5,266.0,fair,14.8,0
1617555600.0,0.0,1020.7,59.0,spring,11.4,261.0,fair,13.0,0
1617559200.0,0.0,1020.0,66.0,spring,9.9,256.0,fair,13.0,0
1617562800.0,0.0,1019.5,,spring,8.8,256.0,fair,13.0,0
1617566400.0,0.0,1019.0,78.0,spring,7.9,262.0,fair,14.8,0
1617570000.0,0.0,1018.2,80.0,spring,7.2,267.0,fair,14.8,0
1617573600.0,0.0,1017.4,,spring,6.6,272.0,fair,16.7,0
1617577200.0,0.0,1016.8,83.0,spring,6.3,272.0,fair,16.7,0
1617580800.0,0.0,1015.7,,spring,6.2,277.0,fair,16.7,0
1617584400.0,0.0,1015.0,,spring,6.0,278.0,cloudy,18.5,0
1617588000.0,0.0,1014.6,,spring,5.9,289.0,cloudy,18.5,0
1617591600.0,0.0,1014.3,80.0,spring,5.6,296.0,cloudy,18.5,0
1617598800.0,0.0,1015.3,,spring,5.2,317.0,cloudy,22.2,0
1617602400.0,0.0,1016.0,,spring,5.0,325.0,cloudy,24.1,0
1617606000.0,0.0,1016.5,66.0,spring,5.1,334.0,cloudy,25.9,0
1617609600.0,0.0,1017.2,58.0,spring,5.3,341.0,cloudy,25.9,0
1617613200.0,0.0,1017.7,,spring,5.6,344.0,cloudy,25.9,0
1617616800.0,0.0,1018.3,,spring,5.9,347.0,fair,25.9,0
1617620400.0,0.0,1018.8,,spring,6.2,346.0,fair,25.9,0
1617624000.0,0.0,1019.0,40.0,spring,6.2,344.0,fair,27.8,0
1617627600.0,0.0,1019.2,38.0,spring,6.3,343.0,fair,27.8,0
1617631200.0,0.0,1019.7,37.0,spring,6.3,345.0,fair,25.9,0
1617638400.0,0.0,1020.2,,spring,5.3,343.0,fair,22.2,0
1617649200.0,0.0,1021.5,55.0,spring,1.9,316.0,fair,11.1,0
1617656400.0,0.0,1021.7,,spring,0.8,295.0,clear,13.0,0
1617660000.0,0.0,1021.7,,spring,0.4,294.0,clear,13.0,0
1617663600.0,0.0,1021.9,,spring,0.0,299.0,clear,13.0,0
1617667200.0,0.0,1021.6,,spring,-0.3,297.0,clear,13.0,0
1617670800.0,0.0,1021.3,,spring,-0.5,297.0,clear,13.0,0
1617674400.0,0.0,1021.2,,spring,-0.8,302.0,clear,13.0,0
1617681600.0,0.0,1021.2,79.0,spring,-1.5,297.0,clear,13.0,0
1617685200.0,0.0,1021.4,,spring,-1.1,303.0,fair,13.0,0
1617688800.0,0.0,1021.4,76.0,spring,-0.1,307.0,fair,14.8,0
1617696000.0,0.0,1021.2,60.0,spring,2.5,319.0,fair,18.5,0
1617699600.0,0.0,1020.9,53.0,spring,3.8,325.0,fair,20.4,0
1617706800.0,0.0,1020.2,,spring,4.9,328.0,fair,22.2,0
1617714000.0,0.0,1019.4,42.0,spring,4.9,327.0,snow shower,24.1,0
1617717600.0,0.0,1019.4,,spring,4.7,329.0,snow shower,24.1,0
1617728400.0,0.0,1020.0,,spring,2.9,332.0,fair,16.7,0
1617735600.0,0.0,1021.2,,spring,0.9,319.0,fair,9.3,0
1617739200.0,0.0,1021.6,,spring,0.0,310.0,fair,9.3,0
1617742800.0,0.0,1021.9,69.0,spring,-0.7000000000000001,296.0,clear,9.3,0
1617750000.0,0.0,1022.5,,spring,-1.3,288.0,clear,11.1,0
1617753600.0,0.0,1022.9,74.0,spring,-1.3,286.0,clear,11.1,0
1617760800.0,0.0,1022.9,78.0,spring,-1.9,287.0,clear,11.1,0
1617768000.0,0.0,1023.4,,spring,-1.8,289.0,clear,11.1,0
1617775200.0,0.0,1024.1,,spring,-0.3,292.0,fair,13.0,0
1617778800.0,0.0,1024.3,72.0,spring,0.8,295.0,fair,16.7,0
1617782400.0,0.0,1024.5,,spring,2.3,300.0,fair,16.7,0
1617786000.0,0.0,1023.6,60.0,spring,4.3,298.0,fair,18.5,0
1617789600.0,0.0,1023.6,,spring,4.9,301.0,fair,18.5,0
1617793200.0,0.0,1023.8,,spring,5.3,305.0,fair,18.5,0
1617800400.0,0.0,1023.8,49.0,spring,5.8,305.0,fair,18.5,0
1617804000.0,0.0,1023.8,,spring,5.8,308.0,cloudy,18.5,0
1617807600.0,0.0,1023.9,,spring,5.9,310.0,cloudy,16.7,0
1617811200.0,0.0,1024.0,51.0,spring,5.7,311.0,cloudy,16.7,0
1617814800.0,0.0,1024.1,55.0,spring,4.9,308.0,cloudy,13.0,0
1617818400.0,0.0,1024.4,59.0,spring,4.0,300.0,cloudy,9.3,0
1617829200.0,0.0,1025.0,73.0,spring,2.0,251.0,fair,7.4,0
1617840000.0,0.0,1025.2,,spring,0.8,230.0,fair,7.4,0
1617843600.0,0.0,1025.0,,spring,0.4,227.0,fair,7.4,0
1617847200.0,0.0,1024.8,,spring,0.5,225.0,fair,9.3,0
1617850800.0,0.0,1024.4,,spring,0.3,232.0,cloudy,9.3,0
1617858000.0,0.0,1023.8,,spring,1.5,218.0,overcast,9.3,0
1617861600.0,0.0,1023.6,,spring,2.8,218.0,overcast,11.1,0
1617865200.0,0.0,1023.3,,spring,4.2,218.0,overcast,13.0,0
1617872400.0,0.0,1022.6,,spring,6.6,232.0,cloudy,18.5,0
1617876000.0,0.0,1022.1,,spring,7.8,237.0,cloudy,20.4,0
1617883200.0,0.0,1020.9,63.0,spring,8.8,239.0,cloudy,20.4,0
1617886800.0,0.0,1020.4,,spring,9.0,239.0,overcast,20.4,0
1617890400.0,0.0,1019.7,,spring,9.0,239.0,overcast,20.4,0
1617894000.0,0.0,1019.3,62.0,spring,9.6,239.0,overcast,22.2,0
1617897600.0,0.0,1018.9,,spring,9.3,239.0,overcast,20.4,0
1617904800.0,0.0,1018.2,71.0,spring,8.0,231.0,overcast,16.7,0
1617908400.0,0.0,1017.9,73.0,spring,7.3,226.0,overcast,16.7,0
1617912000.0,0.0,1017.4,77.0,spring,6.8,229.0,overcast,14.8,0
1617915600.0,0.0,1017.5,82.0,spring,6.2,223.0,overcast,14.8,0
1617919200.0,0.0,1017.0,,spring,5.8,226.0,overcast,14.8,0
1617922800.0,0.0,1016.3,,spring,5.4,227.0,overcast,13.0,0
1617926400.0,0.0,1015.8,,spring,4.8,228.0,overcast,13.0,0
1617930000.0,0.0,1015.2,,spring,4.5,227.0,overcast,13.0,0
